"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\Starter files -project 1.0\project\backend\controllers\auth.controller.js", "JavaScript", 89, 0, 7, 96
"Total", "-", 89, 0, 7, 96
